date,new,total,recovered,dead,first,second,half,full,average
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2020-03-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2020-03-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2020-03-15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2020-03-16,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2020-03-17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
2020-03-18,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
2020-03-19,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
2020-03-20,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143
2020-03-21,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428
2020-03-22,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5714285714285716
2020-03-23,13.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286
2020-03-24,7.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,5.285714285714286
2020-03-25,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,5.857142857142857
2020-03-26,9.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2020-03-27,9.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2020-03-28,9.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,8.857142857142858
2020-03-29,6.0,77.0,2.0,0.0,0.0,0.0,0.0,0.0,8.285714285714286
2020-03-30,1.0,78.0,2.0,1.0,0.0,0.0,0.0,0.0,6.571428571428571
2020-03-31,2.0,80.0,3.0,1.0,0.0,0.0,0.0,0.0,5.857142857142857
2020-04-01,4.0,84.0,8.0,1.0,0.0,0.0,0.0,0.0,5.714285714285714
2020-04-02,3.0,87.0,11.0,1.0,0.0,0.0,0.0,0.0,4.857142857142857
2020-04-03,4.0,91.0,18.0,1.0,0.0,0.0,0.0,0.0,4.142857142857143
2020-04-04,2.0,93.0,18.0,2.0,0.0,0.0,0.0,0.0,3.142857142857143
2020-04-05,3.0,96.0,28.0,2.0,0.0,0.0,0.0,0.0,2.7142857142857144
2020-04-06,0.0,96.0,40.0,2.0,0.0,0.0,0.0,0.0,2.5714285714285716
2020-04-07,1.0,97.0,42.0,2.0,0.0,0.0,0.0,0.0,2.4285714285714284
2020-04-08,2.0,99.0,47.0,2.0,0.0,0.0,0.0,0.0,2.142857142857143
2020-04-09,1.0,100.0,54.0,2.0,0.0,0.0,0.0,0.0,1.8571428571428572
2020-04-10,2.0,102.0,59.0,2.0,0.0,0.0,0.0,0.0,1.5714285714285714
2020-04-11,0.0,102.0,62.0,2.0,0.0,0.0,0.0,0.0,1.2857142857142858
2020-04-12,0.0,102.0,67.0,2.0,0.0,0.0,0.0,0.0,0.8571428571428571
2020-04-13,1.0,103.0,72.0,2.0,0.0,0.0,0.0,0.0,1.0
2020-04-14,0.0,103.0,75.0,2.0,0.0,0.0,0.0,0.0,0.8571428571428571
2020-04-15,0.0,103.0,77.0,3.0,0.0,0.0,0.0,0.0,0.5714285714285714
2020-04-16,0.0,103.0,79.0,3.0,0.0,0.0,0.0,0.0,0.42857142857142855
2020-04-17,0.0,103.0,81.0,3.0,0.0,0.0,0.0,0.0,0.14285714285714285
